Orig_empl,Employer,Interest2
"Asurion Insurance Services, Inc.","Asurion Insurance Services, Inc.",PHARMACEUTICALS
AT&T,AT&T,TELECOM
Audubon New Mexico,Audubon New Mexico,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
"Augustin Plains Ranch, LLC","Augustin Plains Ranch, LLC",RANCHING & AGRICULTURE
Avangrid Renewables LLC,Avangrid Renewables LLC,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"Axcess Financial Services, Inc.","Axcess Financial Services, Inc.",BANKING & FINANCE
"Axiom CPAs and Business Advisors, LLC","Axiom CPAs and Business Advisors, LLC",BANKING & FINANCE
Ayala Construction,Ayala Construction,REAL ESTATE & CONSTRUCTION
"B.E. Resources, Inc.","B.E. Resources, Inc.","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Bail Bond Association of New Mexico,Bail Bond Association of New Mexico,BANKING & FINANCE
"Balzano Government Relations, LLC","Balzano Government Relations, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
Bank of America Corporation,Bank of America Corporation,BANKING & FINANCE
Baptist Convention of New Mexico,Baptist Convention of New Mexico,RELIGIOUS ORGANIZATIONS
Basin Disposal/Aztec Well Services,Basin Disposal/Aztec Well Services,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Basin Properties,Basin Properties,REAL ESTATE & CONSTRUCTION
Bayer U.S. LLC,Bayer U.S. LLC,PHARMACEUTICALS
"BCG Consulting, LLC","BCG Consulting, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
BDDAK Properties LLC,BDDAK Properties LLC,REAL ESTATE & CONSTRUCTION
"Be Resources, Inc.","Be Resources, Inc.",OTHER
Behavioral Health Provider Association of NM,Behavioral Health Provider Association of NM,HEALTHCARE
Benjamin Oppliger Land & Catle,Benjamin Oppliger Land & Catle,RANCHING & AGRICULTURE
Bernalillo County,Bernalillo County,CITY & COUNTY GOVERNMENT
Bernalillo County Assessor,Bernalillo County Assessor,CITY & COUNTY GOVERNMENT
"Bernalillo County, County Attorney's Office","Bernalillo County, County Attorney's Office",CITY & COUNTY GOVERNMENT
Best Daze Inc.,Best Daze Inc.,"ALCOHOL, CANNABIS, & TOBACCO"
Best Friends Animal Society ,Best Friends Animal Society ,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
