Orig_empl,Employer,Interest2
Navajo Technical Univesity,Navajo Technical Univesity,EDUCATION
"Netlogx, LLC","Netlogx, LLC","LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
New Energy Economy,New Energy Economy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
New Meixco Aids Services,New Meixco Aids Services,HEALTHCARE
New Meridian Corporation,New Meridian Corporation,EDUCATION
New Mexicans for Comprehensive Energy Solutions,New Mexicans for Comprehensive Energy Solutions,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
New Mexicans for Gun Safety,New Mexicans for Gun Safety,"FIREARMS, GUNS & AMMUNITION"
New Mexicans for Money Out of Politics,New Mexicans for Money Out of Politics,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexicans for Safer Communities,New Mexicans for Safer Communities,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexicans to Prevent Gun Violence,New Mexicans to Prevent Gun Violence,"FIREARMS, GUNS & AMMUNITION"
New Mexico  Association of Community Colleges,New Mexico  Association of Community Colleges,EDUCATION
New Mexico Academy of Opthalmology,New Mexico Academy of Opthalmology,HEALTHCARE
New Mexico Academy of Physician Assistants,New Mexico Academy of Physician Assistants,HEALTHCARE
New Mexico Acequia Association,New Mexico Acequia Association,WATER RESOURCES
New Mexico Advisory Council on Arts Education,New Mexico Advisory Council on Arts Education,ARTS & CULTURE
New Mexico Aerospace Association,New Mexico Aerospace Association,TRANSPORTATION
New Mexico AIDS Services,New Mexico AIDS Services,HEALTHCARE
New Mexico Alcohol Alliance,New Mexico Alcohol Alliance,"ALCOHOL, CANNABIS, & TOBACCO"
New Mexico Alcohol Beverage Wholesalers Assoc. ,New Mexico Alcohol Beverage Wholesalers Assoc. ,"ALCOHOL, CANNABIS, & TOBACCO"
New Mexico Alliance for Life,New Mexico Alliance for Life,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Alliance for School-Based Health,New Mexico Alliance for School-Based HEALTHCARE,HEALTHCARE
New Mexico Alliance of Boys & Girls Clubs,New Mexico Alliance of Boys & Girls Clubs,"SENIOR, FAMILY & YOUTH ADVOCACY"
New Mexico American Water Company,New Mexico American Water Company,WATER RESOURCES
New Mexico Angels,New Mexico Angels,ECONOMIC & SUSTAINABLE DEVELOPMENT
New Mexico Appleseed,New Mexico Appleseed,"SENIOR, FAMILY & YOUTH ADVOCACY"
New Mexico Appraisers Coalition,New Mexico Appraisers Coalition,REAL ESTATE & CONSTRUCTION
New Mexico Assoc of Agriculture Education Teachers,New Mexico Assoc of RANCHING & AGRICULTURE Education Teachers,RANCHING & AGRICULTURE
New Mexico Assoc. of Food Banks,New Mexico Assoc. of Food Banks,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Association Commerce & Industry,New Mexico Association Commerce & Industry,ECONOMIC & SUSTAINABLE DEVELOPMENT
New Mexico Association for the Education of Young Children,New Mexico Association for the Education of Young Children,EDUCATION
New Mexico Association Nurses Anesthetists,New Mexico Association Nurses Anesthetists,HEALTHCARE
New Mexico Association of Community Colleges,New Mexico Association of Community Colleges,EDUCATION
New Mexico Association of Conservation Districts ,New Mexico Association of Conservation Districts ,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
New Mexico Association of Educational Retirees,New Mexico Association of Educational Retirees,EDUCATION
New Mexico Association of Educational Retirees ,New Mexico Association of Educational Retirees ,EDUCATION
New Mexico Association of Mortgage Professionals,New Mexico Association of Mortgage Professionals,BANKING & FINANCE
New Mexico Association of Naturopathic Physicians,New Mexico Association of Naturopathic Physicians,HEALTHCARE
New Mexico Association of New Public Schools,New Mexico Association of New Public Schools,EDUCATION
New Mexico Association of Nonpublic Schools,New Mexico Association of Non-Public Schools,EDUCATION
New Mexico Association of Non-Public Schools,New Mexico Association of Non-Public Schools,EDUCATION
New Mexico Association of Physical Therapy,New Mexico Association of Physical Therapy,HEALTHCARE
New Mexico Association of Physicians Assistants,New Mexico Association of Physicians Assistants,HEALTHCARE
New Mexico Association of REALTORS,New Mexico Association of REALTORS,REAL ESTATE & CONSTRUCTION
New Mexico Association of REALTORS ,New Mexico Association of REALTORS,REAL ESTATE & CONSTRUCTION
New Mexico Association of Resource Development Councils,New Mexico Association of Resource Development Councils,ECONOMIC & SUSTAINABLE DEVELOPMENT
New Mexico Association of Retirees,New Mexico Association of Retirees,"SENIOR, FAMILY & YOUTH ADVOCACY"
New Mexico Association of Soil and Water Districts,New Mexico Association of Soil and Water Districts,WATER RESOURCES
New Mexico Association on Law & Poverty ,New Mexico Association on Law & Poverty ,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Athletic Trainers Association ,New Mexico Athletic Trainers Association ,HEALTHCARE
New Mexico Autism Society,New Mexico Autism Society,HEALTHCARE
New Mexico Automotive Dealers Association,New Mexico Automotive Dealers Association,TRANSPORTATION
New Mexico Bankers Association,New Mexico Bankers Association,BANKING & FINANCE
New Mexico Bankers Association ,New Mexico Bankers Association,BANKING & FINANCE
New Mexico Beverage Association,New Mexico Beverage Association,"ALCOHOL, CANNABIS, & TOBACCO"
New Mexico BioPark Society,New Mexico BioPark Society,ARTS & CULTURE
New Mexico Blue Cross/Blue Shield,New Mexico Blue Cross/Blue Shield,INSURANCE
New Mexico Brewers Guild,New Mexico Brewer's Guild,"ALCOHOL, CANNABIS, & TOBACCO"
New Mexico Brewer's Guild,New Mexico Brewer's Guild,"ALCOHOL, CANNABIS, & TOBACCO"
New Mexico Broadcasters Association,New Mexico Broadcasters Association,"MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
New Mexico Building Coalition,New Mexico Building Coalition,REAL ESTATE & CONSTRUCTION
New Mexico Building Education Foundation,New Mexico Building Education Foundation,REAL ESTATE & CONSTRUCTION
New Mexico Building Trades Council,New Mexico Building Trades Council,REAL ESTATE & CONSTRUCTION
New Mexico Business Coalition,New Mexico Business Coalition,ECONOMIC & SUSTAINABLE DEVELOPMENT
New Mexico Business Roundtable ,New Mexico Business Roundtable ,ECONOMIC & SUSTAINABLE DEVELOPMENT
New Mexico Cancer Alliance,New Mexico Cancer Alliance,HEALTHCARE
New Mexico Cancer Center,New Mexico Cancer Center,HEALTHCARE
New Mexico Cannabis Alliance,New Mexico Cannabis Alliance,"ALCOHOL, CANNABIS, & TOBACCO"
New Mexico Cannabis Chamber of Commerce,New Mexico Cannabis Chamber of Commerce,"ALCOHOL, CANNABIS, & TOBACCO"
New Mexico Caregivers Coalition,New Mexico Caregivers Coalition,HEALTHCARE
New Mexico Cattle Growers' Association ,New Mexico Cattle Growers' Association ,RANCHING & AGRICULTURE
New Mexico Center for School Leadership,New Mexico Center for School Leadership,EDUCATION
New Mexico Center on Law & Poverty,New Mexico Center on Law and Poverty,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Center on Law and Poverty,New Mexico Center on Law and Poverty,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Certified Automotive Recyclers Assoc.,New Mexico Certified Automotive Recyclers Assoc.,TRANSPORTATION
New Mexico Chapter Academy of Family Physicians,New Mexico Chapter Academy of Family Physicians,HEALTHCARE
"New Mexico Chapter, National Electrical Contractor","New Mexico Chapter, National Electrical Contractor",LABOR & WORKFORCE
New Mexico Child Care Educational Association,New Mexico Child Care Educational Association,"SENIOR, FAMILY & YOUTH ADVOCACY"
New Mexico Child First Network,New Mexico Child First Network,"SENIOR, FAMILY & YOUTH ADVOCACY"
New Mexico Children's Alliance,New Mexico Children's Alliance,"SENIOR, FAMILY & YOUTH ADVOCACY"
New Mexico Chile Association,New Mexico Chile Association,RANCHING & AGRICULTURE
New Mexico Chiropractic Association,New Mexico Chiropractic Association,HEALTHCARE
New Mexico Coalition Against Domestic Violence,New Mexico Coalition Against Domestic Violence,LAW ENFORCEMENT & CRIME
New Mexico Coalition for Charter Schools,New Mexico Coalition for Charter Schools,EDUCATION
New Mexico Coalition of Conservation Districts,New Mexico Coalition of Conservation Districts,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
New Mexico Coalition of Educational Leaders,New Mexico Coalition of Educational Leaders,EDUCATION
New Mexico Coalition of Main Street Communities,New Mexico Coalition of Main Street Communities,ECONOMIC & SUSTAINABLE DEVELOPMENT
New Mexico Coalition of School Administrators,New Mexico Coalition of School Administrators,EDUCATION
New Mexico Coalition of Sexual Assault Programs,New Mexico Coalition of Sexual Assault Programs,LAW ENFORCEMENT & CRIME
New Mexico Coalition to End Homelessness,New Mexico Coalition to End Homelessness,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Collectors Association,New Mexico Collectors Association,"FIREARMS, GUNS & AMMUNITION"
New Mexico Committee for Responsible Energy,New Mexico Committee for Responsible Energy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
New Mexico Conference of Catholic Bishops,New Mexico Conference of Catholic Bishops,RELIGIOUS ORGANIZATIONS
New Mexico Conference on Catholic Bishops,New Mexico Conference of Catholic Bishops,RELIGIOUS ORGANIZATIONS
New Mexico Conservation Officers Association,New Mexico Conservation Officers Association,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
New Mexico Copper Corporation,New Mexico Copper Corporation,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
"New Mexico Council Of Outfitters and Guides, Inc.",NM Council of Outfitters and Guides,TOURISM
New Mexico Council of University Presidents,New Mexico Council of University Presidents,EDUCATION
New Mexico Council on Crime & Delinquency,New Mexico Council on Crime & Delinquency,LAW ENFORCEMENT & CRIME
New Mexico Counties ,New Mexico Counties ,CITY & COUNTY GOVERNMENT
New Mexico County Clerk's Affiliate,New Mexico County Clerk's Affiliate,CITY & COUNTY GOVERNMENT
New Mexico Criminal Defense Lawyers Association,New Mexico Criminal Defense Lawyers Association,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
New Mexico Dental Association,New Mexico Dental Association,HEALTHCARE
New Mexico Dental Hygienists Assoc.,New Mexico Dental Hygienists Assoc.,HEALTHCARE
New Mexico Dental Therapy Coalition/Health Action New Mexico,New Mexico Dental Therapy Coalition/HEALTHCARE Action New Mexico,HEALTHCARE
New Mexico Department of Agriculture,New Mexico Department of RANCHING & AGRICULTURE,RANCHING & AGRICULTURE
New Mexico Direct Caregivers Coalition,New Mexico Direct Caregivers Coalition,HEALTHCARE
New Mexico Distillers Guild,New Mexico Distillers Guild,"ALCOHOL, CANNABIS, & TOBACCO"
New Mexico Economic Equilibrium,New Mexico Economic Equilibrium,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Educational Assistance Foundation,New Mexico Educational Assistance Foundation,EDUCATION
"New Mexico Energy, Minerals and Natural Resources ","New Mexico Energy, Minerals and Natural Resources ","CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
New Mexico Entertainment and Digital Industry Asso,New Mexico Entertainment and Digital Industry Asso,FILM
New Mexico Environmental Law Center,New Mexico Environmental Law Center,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
New Mexico Exchange Carrier Group,New Mexico Exchange Carrier Group,TELECOM
New Mexico Fail First Awareness Coalition,New Mexico Fail First Awareness Coalition,HEALTHCARE
New Mexico Farm & Livestock Bureau,New Mexico Farm and Livestock Bureau,RANCHING & AGRICULTURE
New Mexico Farm and Livestock Bureau,New Mexico Farm and Livestock Bureau,RANCHING & AGRICULTURE
New Mexico Federal Lands Council,New Mexico Federal Lands Council,RANCHING & AGRICULTURE
"New Mexico Federation of Labor, AFL-CIO","New Mexico Federation of Labor, AFL-CIO",LABOR & WORKFORCE
New Mexico Finance Authority,New Mexico Finance Authority,BANKING & FINANCE
"New Mexico Financial Services Association, Inc.","New Mexico Financial Services Association, Inc.",BANKING & FINANCE
New Mexico First,New Mexico First,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico First ,New Mexico First,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Forest Industry Association,New Mexico Forest Industry Association,ECONOMIC & SUSTAINABLE DEVELOPMENT
New Mexico Foundation for Open Government,New Mexico Foundation for Open Government,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Funeral Directors Coalition,New Mexico Funeral Directors Coalition,OTHER
New Mexico Gaming Control Board,New Mexico Gaming Control Board,CASINO & GAMING
"New Mexico Gaming, LLC. ","New Mexico Gaming, LLC. ",CASINO & GAMING
New Mexico Gas Company,New Mexico Gas Company,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
New Mexico Golf Tourism Alliance ,New Mexico Golf Tourism Alliance ,TOURISM
New Mexico Government Affairs ,New Mexico Government Affairs ,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
New Mexico Grain & Feed Assoc.,New Mexico Grain & Feed Association ,RANCHING & AGRICULTURE
New Mexico Grain & Feed Association ,New Mexico Grain & Feed Association ,RANCHING & AGRICULTURE
New Mexico Green Chamber of Commerce,New Mexico Green Chamber of Commerce,ECONOMIC & SUSTAINABLE DEVELOPMENT
New Mexico Grocers Association,New Mexico Grocers Association,"RESTAURANT, FOOD & BEVERAGE "
New Mexico Ground Water Association,New Mexico Ground Water Association,WATER RESOURCES
New Mexico Habitat Conservation Initiative,New Mexico Habitat Conservation Initiative,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
New Mexico Health Care Association,New Mexico HEALTHCARE Care Association,HEALTHCARE
New Mexico Health Insurance Exchange,New Mexico Health Insurance Exchange,INSURANCE
New Mexico Healthcare Association,New Mexico HEALTHCARE Association,HEALTHCARE
New Mexico Highlands University,New Mexico Highlands University,EDUCATION
New Mexico Home Builders Association,New Mexico Home Builders Association,REAL ESTATE & CONSTRUCTION
New Mexico Horse Breeders Association,New Mexico Horse Breeders Association,CASINO & GAMING
New Mexico Horse Breeders' Association,New Mexico Horse Breeders Association,CASINO & GAMING
New Mexico Horsemen's Association,New Mexico Horsemen's Association,CASINO & GAMING
New Mexico Hospital Association 1,New Mexico Hospital Association 1,HEALTHCARE
New Mexico Hospital Equipment Loan Council,New Mexico Hospital Equipment Loan Council,HEALTHCARE
New Mexico Hospitality Association,New Mexico Hospitality Association,TOURISM
New Mexico Hospitality Retail Association,New Mexico Hospitality Retail Association,TOURISM
New Mexico Idea ,New Mexico Idea ,ECONOMIC & SUSTAINABLE DEVELOPMENT
New Mexico Independent Automobile Dealers Assoc.,New Mexico Independent Automobile Dealers Assoc.,TRANSPORTATION
New Mexico Independent Community Colleges,New Mexico Independent Community Colleges,EDUCATION
New Mexico Independent Finance Association,New Mexico Independent Finance Association,BANKING & FINANCE
New Mexico Independent Power Producers,New Mexico Independent Power Producers,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
New Mexico Indian Gaming Association,New Mexico Indian Gaming Association,CASINO & GAMING
New Mexico Industrial Energy Consumers,New Mexico Industrial Energy Consumers,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
New Mexico Institute of Mining & Technology,New Mexico Institute of Mining & Technology,EDUCATION
"New Mexico Interactive, LLC 1","New Mexico Interactive, LLC 1",INFORMATION TECHNOLOGY
New Mexico Interfaith Power and Light,New Mexico Interfaith Power and Light,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
New Mexico Junior College District,New Mexico Junior College District,EDUCATION
New Mexico Kids Can,New Mexico Kids Can,"SENIOR, FAMILY & YOUTH ADVOCACY"
New Mexico Land Title Association,New Mexico Land Title Association,REAL ESTATE & CONSTRUCTION
New Mexico Landlord Tenant Home,New Mexico Landlord Tenant Home,REAL ESTATE & CONSTRUCTION
New Mexico Legal Aid,New Mexico Legal Aid,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
New Mexico Legislative Sportsmen's Foundation,New Mexico Legislative Sportsmen's Foundation,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
New Mexico Library Association,New Mexico Library Association,"MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
New Mexico Lodging Association,New Mexico Lodging Association,TOURISM
New Mexico Lottery Authority 1,New Mexico Lottery Authority 1,CASINO & GAMING
New Mexico Manufactured Housing Association,New Mexico Manufactured Housing Association,REAL ESTATE & CONSTRUCTION
New Mexico Medical Insurance Pool,New Mexico Medical Insurance Pool,INSURANCE
New Mexico Medical Review Association,New Mexico Medical Review Association,HEALTHCARE
New Mexico Medical Society,New Mexico Medical Society,HEALTHCARE
New Mexico Midwives Association,New Mexico Midwives Association,HEALTHCARE
New Mexico Military Institute,New Mexico Military Institute,EDUCATION
New Mexico Mining Association,New Mexico Mining Association,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
New Mexico Mortgage Finance Authority,New Mexico Mortgage Finance Authority,BANKING & FINANCE
New Mexico Mortgage Lenders Association,New Mexico Mortgage Lenders Association,BANKING & FINANCE
New Mexico Movers & Warehousemen's Assoc. ,New Mexico Movers & Warehousemen's Assoc. ,LABOR & WORKFORCE
New Mexico Municipal League,New Mexico Municipal League,"MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
New Mexico Museum Of Natural History Foundation ,New Mexico Museum Of Natural History Foundation ,ARTS & CULTURE
New Mexico Mutual Casualty Co.,New Mexico Mutual Casualty Co.,INSURANCE
New Mexico Naprapathic Association,New Mexico Naprapathic Association,HEALTHCARE
New Mexico National Guard Association,New Mexico National Guard Association,MILITARY  & VETERANS
New Mexico Now,National Organization for Women,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Nurses Association,New Mexico Nurses Association,HEALTHCARE
New Mexico Occupational Therapy,New Mexico Occupational Therapy,HEALTHCARE
New Mexico Oil & Gas Association,New Mexico Oil & Gas Association (NMOGA),"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
New Mexico Oil & Gas Association (NMOGA),New Mexico Oil & Gas Association (NMOGA),"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
New Mexico Onsite Wastewater Association,New Mexico Onsite Wastewater Association,WASTE MANAGEMENT
New Mexico Optics Industry Association,New Mexico Optics Industry Association,LABOR & WORKFORCE
New Mexico Optometric Association,New Mexico Optometric Association,HEALTHCARE
New Mexico Orthopaedic Society,New Mexico Orthopaedic Society,HEALTHCARE
New Mexico Osteopathic Medical Association,New Mexico Osteopathic Medical Association,HEALTHCARE
New Mexico Parkinson's Coalition,New Mexico Parkinson's Coalition,HEALTHCARE
New Mexico Pediatric Society ,New Mexico Pediatric Society ,HEALTHCARE
New Mexico Petroleum Marketers Association,New Mexico Petroleum Marketers Association,HEALTHCARE
New Mexico Pharmacists Association,New Mexico Pharmacists Association,HEALTHCARE
New Mexico Pharmacy Business Council,New Mexico Pharmacy Business Council,HEALTHCARE
New Mexico Philharmonic ,New Mexico Philharmonic ,HEALTHCARE
New Mexico Physical Therapists,New Mexico Physical Therapists,HEALTHCARE
New Mexico Podiatric Medical Association,New Mexico Podiatric Medical Association,HEALTHCARE
New Mexico Press Association,New Mexico Press Association,"MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
New Mexico Primary Care Association,New Mexico Primary Care Association,HEALTHCARE
New Mexico Professional Surveyors,New Mexico Professional Surveyors,LABOR & WORKFORCE
New Mexico Propane Gas Association,New Mexico Propane Gas Association,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
New Mexico Psychological Association,New Mexico Psychological Association,HEALTHCARE
New Mexico Public Defender Department,New Mexico Public Defender Department,LAW ENFORCEMENT & CRIME
New Mexico Public Insurance Authority,New Mexico Public Insurance Authority,INSURANCE
New Mexico Public Interest Research Group,New Mexico Public Interest Research Group,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Public Relations,New Mexico Public Relations,"MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
New Mexico Public Safety Consortium,New Mexico Public Safety Consortium,LAW ENFORCEMENT & CRIME
New Mexico Public Schools Insurance Authority,New Mexico Public Schools Insurance Authority,INSURANCE
New Mexico Real Estate Coalition,New Mexico Real Estate Coalition,REAL ESTATE & CONSTRUCTION
New Mexico Recycling Coalition,New Mexico Recycling Coalition,WASTE MANAGEMENT
New Mexico Religious Coalition for Reproductive Choice,New Mexico Religious Coalition for Reproductive Choice,RELIGIOUS ORGANIZATIONS
New Mexico Renewable Energy Transmission Authority,New Mexico Renewable Energy Transmission Authority,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
New Mexico Residential Builders Coalition ,New Mexico Residential Builders Coalition ,REAL ESTATE & CONSTRUCTION
New Mexico Restaurant Association,New Mexico Restaurant Association,"RESTAURANT, FOOD & BEVERAGE "
New Mexico Retail Association,New Mexico Retail Association,RETAIL & CONSUMER RIGHTS
New Mexico Retiree Healthcare Authority,New Mexico Retiree HEALTHCARE Authority,HEALTHCARE
New Mexico Rural Electric Cooperative Assoc.,New Mexico Rural Electric Cooperative Assoc.,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
New Mexico Rural Library Initiative,New Mexico Rural Library Initiative,"MEDIA INFORMATION, COMMUNICATIONS, & PUBLISHING"
New Mexico Rural Water Association,New Mexico Rural Water Association,WATER RESOURCES
New Mexico School Board Association,New Mexico School Board Association,EDUCATION
New Mexico School for the Arts,New Mexico School for the Arts,EDUCATION
New Mexico Section of American College of OB/GYN,New Mexico Section of American College of OB/GYN,HEALTHCARE
New Mexico Sentencing Commission,New Mexico Sentencing Commission,LAW ENFORCEMENT & CRIME
New Mexico Shooting Sports Association,New Mexico Shooting Sports Association,"FIREARMS, GUNS & AMMUNITION"
New Mexico Society of Anesthesiologists,New Mexico Society of Anesthesiologists,HEALTHCARE
New Mexico Society of Certified Public Accountants,New Mexico Society of Certified Public Accountants,BANKING & FINANCE
New Mexico Soft Drink Association ,New Mexico Soft Drink Association ,"RESTAURANT, FOOD & BEVERAGE "
New Mexico Speech/Language & Hearing Assoc.,New Mexico Speech/Language & Hearing Assoc.,HEALTHCARE
New Mexico State Investment Council,New Mexico State Investment Council,BANKING & FINANCE
New Mexico State Land Office,New Mexico State Land Office,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
New Mexico State Lodge Fraternal Order of Police,New Mexico State Lodge Fraternal Order of Police,LABOR & WORKFORCE
New Mexico State Police Association,New Mexico State Police Association,LABOR & WORKFORCE
New Mexico State Treasurer's Office,New Mexico State Treasurer's Office,BANKING & FINANCE
New Mexico State University ,New Mexico State University ,EDUCATION
New Mexico Supreme Court,New Mexico Supreme Court,JUDICIARY & RULES
New Mexico Tax Credit Alliance,New Mexico Tax Credit Alliance,BANKING & FINANCE
New Mexico Tech ,New Mexico Tech ,EDUCATION
New Mexico Technology Council,New Mexico Technology Council,INFORMATION TECHNOLOGY
New Mexico Thrives,New Mexico Thrives,JUDICIARY & RULES
New Mexico Transit Association,New Mexico Transit Association,TRANSPORTATION
New Mexico Trappers Association,New Mexico Trappers Association,ARTS & CULTURE
New Mexico Treatment Services,New Mexico Treatment Services,HEALTHCARE
New Mexico Trial Lawyers Association,New Mexico Trial Lawyers Association,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
New Mexico Trucking Association,New Mexico Trucking Association,TRANSPORTATION
New Mexico United,New Mexico United,SPORTS
New Mexico Unites for Marriage,New Mexico Unites for Marriage,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Utility Contractors Association,New Mexico Utility Contractors Association,REAL ESTATE & CONSTRUCTION
New Mexico Utility Shareholders Alliance ,New Mexico Utility Shareholders Alliance ,BANKING & FINANCE
New Mexico Venture Captial Association,New Mexico Venture Captial Association,BANKING & FINANCE
New Mexico Veterans Integration Centers (NMVIC),New Mexico Veterans Integration Centers (NMVIC),MILITARY  & VETERANS
New Mexico Veterinary Medical Association,New Mexico Veterinary Medical Association,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
New Mexico Voices for Children ,New Mexico Voices for Children ,"SENIOR, FAMILY & YOUTH ADVOCACY"
New Mexico Vote Matters,New Mexico Vote Matters,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
New Mexico Water Service Company,New Mexico Water Service Company,WATER RESOURCES
New Mexico Watershed and Dam Owner Coalition,New Mexico Watershed and Dam Owner Coalition,WATER RESOURCES
"New Mexico Weather Modification Association, Inc.","New Mexico Weather Modification Association, Inc.",WATER RESOURCES
New Mexico Wilderness Alliance,New Mexico Wilderness Alliance,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
New Mexico Wildlife Federation,New Mexico Wildlife Federation,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
New Mexico Women's Agenda,New Mexico Women's Agenda,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
"New Mexico Wool Growers, Inc.","New Mexico Wool Growers, Inc.",RANCHING & AGRICULTURE
New Mexico Youth Providers Association,New Mexico Youth Providers Association,"SENIOR, FAMILY & YOUTH ADVOCACY"
New Venture Fund (CSME),New Venture Fund (CSME),BANKING & FINANCE
Newmont Gold Company,Newmont Gold Company,"EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Next Era Energy,Next Era Energy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
NextEra Energy,Next Era Energy,ENERGY (NONRENEWABLE & RENEWABLE) & TRANSMISSION
"NGL Water Solutions Permian, LLC","NGL Water Solutions Permian, LLC","EXTRACTIVE INDUSTRIES (MINING, OIL & GAS)"
Ning Consulting,Ning Consulting,"LOBBYIST CONSULTANTS, GENERAL CONSULTING & LAW FIRMS"
NM Academy of Anesthesiologist Assistans,NM Academy of Anesthesiologist Assistans,HEALTHCARE
NM Academy of Emergency Physicians,NM Academy of Emergency Physicians,HEALTHCARE
NM Association for the Education of Young Childre ,NM Association for the Education of Young Children,EDUCATION
NM Association for the Education of Young Children,NM Association for the Education of Young Children,EDUCATION
NM Association of Behavioral Analyst,NM Association of Behavioral Analyst,HEALTHCARE
NM Association of Conservation Districts,NM Association of Conservation Districts,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
NM Association of Educational Reitrees,NM Association of Educational Retirees,"SENIOR, FAMILY & YOUTH ADVOCACY"
NM Association of Educational Retirees,NM Association of Educational Retirees,"SENIOR, FAMILY & YOUTH ADVOCACY"
NM Association of Educational Retirees ,NM Association of Educational Retirees,"SENIOR, FAMILY & YOUTH ADVOCACY"
NM Association of Educational Retirees 1,NM Association of Educational Retirees,"SENIOR, FAMILY & YOUTH ADVOCACY"
NM Association of Nurse Anesthethists,NM Association of Nurse Anesthethists,HEALTHCARE
NM Association of Soil & Water Conservation,NM Association of Soil & Water Conservation,"CONSERVATION,  ENVIRONMENT & NATURAL RESOURCES"
NM CASA Association,NM CASA Association,REAL ESTATE & CONSTRUCTION
NM Cattle Growers' Association,NM Cattle Growers' Association,RANCHING & AGRICULTURE
NM Center for Family Policy ,NM Center for Family Policy ,"SENIOR, FAMILY & YOUTH ADVOCACY"
NM Center on Law and Proverty,NM Center on Law and Proverty,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
NM Chapter of American Physical Therapy Assoc.,NM Chapter of American Physical Therapy Assoc.,HEALTHCARE
NM Chapter of the American College of Emergency ,NM Chapter of the American College of Emergency ,HEALTHCARE
"NM Chapter, National Electrical Contractors Assoc.","NM Chapter, National Electrical Contractors Assoc.",REAL ESTATE & CONSTRUCTION
NM Chapter-American Fire Sprinkler Association,NM Chapter-American Fire Sprinkler Association,LABOR & WORKFORCE
NM Chapter-American Planning Association,NM Chapter-American Planning Association,CIVIL RIGHTS & SOCIAL JUSTICE ADVOCACY
NM Committee for Responsible Health Care Regulatio,NM Committee for Responsible HEALTHCARE Care Regulatio,HEALTHCARE
